,,1960100000,1961100000,1962100000,1963100000,1964100000,1965100000,1966100000,1967100000,1968100000,1969100000,1970100000,1971100000,1972100000,1973100000,1974100000,1975100000,1976100000,1977100000,1978100000,1979100000,1980100000,1981100000,1982100000,1983100000,1984100000,1985100000,1986100000,1987100000,1988100000,1989100000,1990100000,1991100000,1992100000,1993100000,1994100000,1995100000,1996100000,1997100000,1998100000,1999100000,2000100000,2001100000,2002100000,2003100000,2004100000,2005100000,2006100000,2007100000,2008100000,2009100000,2010100000,2011100000,2012100000,2013100000,2014100000,2015100000,2016100000,2017100000,2018100000,2019100000,2020100000,2021100000,2022100000,2023100000,2024100000
食料需給_項目,類別・品目別,1960年度,1961年度,1962年度,1963年度,1964年度,1965年度,1966年度,1967年度,1968年度,1969年度,1970年度,1971年度,1972年度,1973年度,1974年度,1975年度,1976年度,1977年度,1978年度,1979年度,1980年度,1981年度,1982年度,1983年度,1984年度,1985年度,1986年度,1987年度,1988年度,1989年度,1990年度,1991年度,1992年度,1993年度,1994年度,1995年度,1996年度,1997年度,1998年度,1999年度,2000年度,2001年度,2002年度,2003年度,2004年度,2005年度,2006年度,2007年度,2008年度,2009年度,2010年度,2011年度,2012年度,2013年度,2014年度,2015年度,2016年度,2017年度,2018年度,2019年度,2020年度,2021年度,2022年度,2023年度,2024年度
"輸入量【1,000トン】",果実_りんご,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,28,0,0,0,1,28,19,28,25,93,273,249,225,348,525,686,588,502,454,536,551,699,534,541,704,788,776,924,797,602,592,624,671,629,669,598,555,582,537,595,531,528,559,492,501
"輸入量【1,000トン】",果実_その他の果実,118,191,245,403,567,573,689,763,934,"1,086","1,186","1,375","1,589","1,503","1,385","1,386","1,464","1,481","1,634","1,616","1,511","1,614","1,699","1,611","1,752","1,876","2,155","2,232","2,358","2,548","2,705","2,784","3,224","3,428","4,267","3,861","3,796","3,763","3,658","4,088","4,289","4,449","4,327","4,215","4,648","4,648","4,353","4,238","4,092","4,132","4,164","4,335","4,335","4,081","3,698","3,752","3,737","3,757","4,124","3,871","3,973","3,652","3,675","3,595","3,563"
"輸入量【1,000トン】",肉類,41,37,52,103,127,121,163,196,228,278,220,357,436,557,407,731,756,769,754,791,738,789,784,826,830,852,965,"1,171","1,349","1,514","1,485","1,659","1,824","1,986","2,189","2,413","2,565","2,344","2,447","2,649","2,755","2,664","2,579","2,525","2,531","2,703","2,416","2,443","2,572","2,310","2,588","2,735","2,636","2,635","2,757","2,769","2,927","3,127","3,195","3,255","3,037","3,138","3,191","3,005","3,188"
"輸入量【1,000トン】",肉類_牛肉,6,6,4,5,6,11,14,20,19,23,33,62,77,170,40,91,134,132,146,189,172,172,198,208,213,225,268,319,408,520,549,467,605,810,834,941,873,941,974,975,"1,055",868,763,743,643,654,667,662,671,679,731,737,722,765,738,696,752,817,886,890,845,813,804,717,724
"輸入量【1,000トン】",肉類_豚肉,6,1,0,8,2,0,0,0,18,36,17,29,90,128,71,208,187,161,155,176,207,232,199,271,262,272,292,415,484,523,488,631,667,650,724,772,964,754,803,953,952,"1,034","1,101","1,145","1,267","1,298","1,100","1,126","1,207","1,034","1,143","1,198","1,141","1,113","1,216","1,223","1,290","1,357","1,344","1,400","1,292","1,357","1,407","1,330","1,433"
"輸入量【1,000トン】",肉類_鶏肉,0,0,0,5,4,8,7,10,18,20,12,30,29,26,21,28,40,48,66,69,80,104,107,100,112,115,187,217,272,296,297,392,398,390,516,581,634,568,591,650,686,702,662,585,561,679,589,605,643,553,674,763,736,717,759,809,842,905,914,916,859,927,937,914,986
"輸入量【1,000トン】",肉類_その他の肉,29,30,34,73,91,83,121,137,162,186,143,218,222,208,246,375,363,391,353,330,254,262,260,228,226,223,214,219,184,175,150,168,154,136,115,119,94,81,79,71,62,60,53,52,60,72,60,50,51,44,40,36,36,40,42,40,42,47,51,48,41,41,43,41,45
"輸入量【1,000トン】",肉類_鯨,0,0,14,12,24,19,21,29,11,13,15,18,18,25,29,29,32,37,34,27,25,19,20,19,17,17,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,1,0,1,0,0,0,3,0
"輸入量【1,000トン】",鶏卵,0,0,0,0,0,2,5,17,36,31,51,46,37,44,41,55,51,58,56,44,49,52,41,40,29,39,61,36,46,45,50,73,92,99,104,110,110,104,104,119,121,114,120,110,134,151,122,113,112,101,114,138,123,124,129,114,95,114,114,113,102,115,117,111,98
"輸入量【1,000トン】",牛乳及び乳製品,237,276,357,481,486,506,841,964,629,568,561,569,746,"1,032","1,038","1,016","1,491","1,295","1,343","1,439","1,411","1,455","1,186","1,508","1,627","1,579","1,637","1,767","2,613","2,175","2,237","2,675","2,444","2,434","2,841","3,286","3,418","3,498","3,507","3,683","3,952","3,896","3,783","3,925","4,036","3,836","3,958","4,020","3,503","3,491","3,528","4,025","4,194","4,058","4,425","4,634","4,554","5,000","5,164","5,238","4,987","4,755","4,450","4,281","4,421"
"輸入量【1,000トン】",牛乳及び乳製品_農家自家用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"輸入量【1,000トン】",牛乳及び乳製品_飲用向け,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"輸入量【1,000トン】",牛乳及び乳製品_乳製品向け,237,276,357,481,486,506,841,964,629,568,561,569,746,"1,032","1,038","1,016","1,491","1,295","1,343","1,439","1,411","1,455","1,186","1,508","1,627","1,579","1,637","1,767","2,613","2,175","2,237","2,675","2,444","2,434","2,841","3,286","3,418","3,498","3,507","3,683","3,952","3,896","3,783","3,925","4,036","3,836","3,958","4,020","3,503","3,491","3,528","4,025","4,194","4,058","4,425","4,634","4,554","5,000","5,164","5,238","4,987","4,755","4,450","4,281","4,421"
"輸入量【1,000トン】",牛乳及び乳製品_全脂れん乳,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1
"輸入量【1,000トン】",牛乳及び乳製品_脱脂れん乳,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"輸入量【1,000トン】",牛乳及び乳製品_全脂粉乳,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5,5
"輸入量【1,000トン】",牛乳及び乳製品_脱脂粉乳,31,33,42,57,56,52,62,60,40,23,14,0,16,20,31,28,28,14,14,12,12,13,16,12,20,11,10,8,32,15,15,43,21,6,23,41,38,34,22,21,21,14,3,3,3,3,6,2,3,9,3,2,2,7,25,17,6,35,18,12,7,3,2,3,5
"輸入量【1,000トン】",牛乳及び乳製品_育児用粉乳,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"輸入量【1,000トン】",牛乳及び乳製品_チーズ,1,4,5,7,8,11,21,23,27,31,35,35,35,42,48,48,58,66,71,76,71,74,72,75,81,80,85,97,117,110,114,124,131,138,145,159,168,173,183,190,209,206,196,204,216,207,214,220,180,192,199,222,238,230,236,256,256,276,289,296,292,286,265,251,261
"輸入量【1,000トン】",牛乳及び乳製品_バター,1,0,0,0,0,1,9,14,0,0,0,2,11,25,15,14,17,3,1,1,0,1,4,1,1,1,0,1,22,8,8,16,1,0,0,1,1,1,1,0,0,0,7,11,8,5,4,13,15,0,2,14,10,4,13,13,12,10,19,24,17,10,10,17,18
"輸入量【1,000トン】",魚介類,100,135,205,438,572,655,625,605,927,750,745,551,765,"1,079",779,"1,088","1,136","1,848","1,479","1,707","1,689","1,597","1,527","1,944","1,955","2,257","2,928","3,299","3,699","3,310","3,823","4,320","4,718","4,788","5,635","6,755","5,921","5,998","5,254","5,731","5,883","6,727","6,748","5,747","6,055","5,782","5,711","5,162","4,851","4,500","4,841","4,482","4,586","4,081","4,322","4,263","3,852","4,086","4,049","4,210","3,885","3,649","3,781","3,717","3,713"
"輸入量【1,000トン】",魚介類_生鮮・冷凍,***,***,17,34,75,103,141,157,164,194,233,354,379,526,542,619,707,818,903,"1,036",847,998,"1,119","1,124","1,203","1,356","1,531","1,656","1,913","1,870","2,034","2,285","2,335","2,519","3,104","3,123","3,187","3,085","2,952","3,288","1,685","1,646","1,720","1,542","1,583","1,508","1,375","1,221","1,159","1,108","1,138","1,145","1,139","1,063","1,001","1,004",998,"1,013",954,959,897,903,887,830,863
"輸入量【1,000トン】",魚介類_塩干，くん製，その他,***,***,5,3,10,15,26,31,46,40,59,84,96,121,108,123,148,168,167,184,169,189,190,358,450,509,608,684,652,601,662,635,746,772,650,730,721,781,702,759,"2,522","2,677","2,596","2,225","2,407","2,333","2,232","2,145","2,106","1,932","2,027","2,070","2,083","1,941","1,967","2,007","1,947","2,060","2,005","2,040","1,838","1,885","1,962","1,860","1,873"
"輸入量【1,000トン】",魚介類_かん詰,***,***,0,0,0,1,3,4,2,2,2,10,20,17,12,10,11,13,12,15,11,13,11,13,13,15,16,22,22,23,18,18,17,18,22,19,14,15,13,14,42,86,103,101,113,115,104,97,94,95,103,118,125,123,137,141,154,160,163,166,155,145,148,154,139
"輸入量【1,000トン】",魚介類_生鮮・冷凍／塩干，くん製，その他／かん詰,8,24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
"輸入量【1,000トン】",魚介類_飼肥料,92,111,183,401,487,536,455,413,715,514,451,103,270,415,117,336,270,849,397,472,662,397,207,449,289,377,773,937,"1,112",816,"1,109","1,382","1,620","1,479","1,859","2,883","1,999","2,117","1,587","1,670","1,634","2,318","2,329","1,879","1,952","1,826","2,000","1,699","1,492","1,365","1,573","1,149","1,239",954,"1,217","1,111",753,853,927,"1,045",995,716,784,873,838
"輸入量【1,000トン】",海藻類,8,12,8,10,10,12,21,18,15,15,15,18,19,30,23,25,47,48,43,49,55,51,53,56,58,58,54,58,57,68,68,67,60,62,70,70,68,75,76,90,78,79,75,62,68,70,62,54,49,46,47,55,51,48,48,45,45,46,46,46,42,39,39,41,42
"輸入量【1,000トン】",砂糖類_粗糖,"1,244","1,354","1,366","1,362","1,614","1,642","1,631","1,907","2,098","2,179","2,758","2,449","2,542","2,506","2,768","2,243","2,523","2,769","2,192","2,617","2,106","1,683","1,932","1,969","1,872","1,823","1,802","1,732","1,902","1,812","1,672","1,884","1,730","1,668","1,722","1,730","1,605","1,714","1,533","1,454","1,594","1,561","1,470","1,448","1,364","1,298","1,341","1,475","1,401","1,203","1,250","1,528","1,396","1,352","1,328","1,226","1,279","1,184","1,148","1,208",960,"1,018","1,060","1,123","1,239"
"輸入量【1,000トン】",砂糖類_精糖,36,52,71,42,47,13,8,10,5,2,4,1,1,1,1,3,1,0,0,0,0,3,1,0,1,45,61,91,101,115,99,127,161,183,214,255,301,303,283,304,306,313,311,335,351,366,378,375,357,380,406,439,434,422,435,423,445,441,465,450,420,412,411,359,358
"輸入量【1,000トン】",砂糖類_含みつ糖,32,27,28,21,18,28,23,14,16,14,17,13,4,6,8,7,5,7,5,4,6,7,6,6,6,7,6,5,5,5,4,6,10,10,12,12,11,11,11,13,14,12,14,13,19,19,18,15,10,11,11,10,11,11,10,11,11,10,9,9,8,6,7,7,6
"輸入量【1,000トン】",砂糖類_糖みつ,382,444,506,554,559,729,921,"1,006","1,199","1,049","1,218","1,392","1,124","1,018",981,845,971,920,923,781,816,663,795,904,809,703,564,484,398,431,504,462,449,433,378,378,270,262,185,221,180,178,178,157,163,182,157,147,147,134,121,132,126,141,128,122,151,120,130,150,134,140,125,132,108
"輸入量【1,000トン】",油脂類,220,206,176,239,280,266,312,301,348,388,342,339,379,502,398,363,472,415,436,435,443,461,464,452,405,422,443,480,506,506,572,605,628,635,660,722,729,733,680,661,725,778,769,794,885,964,923,936,969,898,929,967,985,966,958,984,979,"1,015","1,091","1,156","1,113",991,948,953,915
